2897631;10.;5.7;8.1;6.6
3186478;3.7;9.6;3.5;5.4
3592508;5.1;8.9;4.4;8.5
1269992;9.0;5.5;8.2;8.2
1707789;7.5;4.3;10.;10.
3429814;6.2;3.2;5.1;5.5
1023780;9.1;4.0;0.50;4.8
3931204;8.9;6.7;6.0;6.4
2949544;6.3;5.0;5.1;10.
2023741;8.7;6.0;6.9;6.6
2740123;10.;8.4;6.9;1.7
3091729;3.7;4.5;6.7;7.2
2645215;7.4;3.2;4.5;4.8
3882468;3.2;6.8;5.0;3.6
2544500;5.5;6.7;8.8;6.8
2078838;6.0;6.4;6.2;10.
2993510;10.;1.4;7.6;7.3
2274870;5.8;7.7;8.2;4.1
3675124;5.6;4.8;5.0;9.1
3606398;2.0;5.4;6.1;10.
3017746;8.5;6.1;7.8;10.
3043902;10.;9.7;7.5;7.3
2707627;9.0;9.5;4.5;6.5
1052011;4.0;3.5;3.5;7.1
2053300;5.0;5.9;4.8;7.0
1980259;9.0;9.1;5.9;1.9
1277515;7.2;3.9;9.6;6.8
1954313;6.2;5.8;6.0;9.1
3660946;9.8;4.1;1.6;8.2
2079464;9.1;8.0;7.2;5.9
2078866;5.1;7.0;8.3;5.3
3330222;4.3;9.3;5.7;3.1
2944699;5.1;7.2;10.;5.6
1955365;8.0;9.7;5.9;4.9
1481820;7.8;3.4;9.6;8.1
2997135;6.0;4.6;7.4;7.3
1935671;3.7;6.5;2.6;6.4
2785061;6.8;8.4;7.1;7.8
2740999;6.1;10.;7.0;10.
2697017;7.2;5.8;8.9;9.3
3797095;10.;6.7;5.7;4.9
3535569;8.0;5.3;8.5;4.1
3235834;7.3;2.2;8.1;10.
1008404;8.5;3.1;7.3;4.6
1527374;6.1;5.6;6.8;4.9
3109196;8.5;5.6;6.2;5.7
3414717;9.6;3.2;6.8;0.66
2533567;4.4;6.2;4.2;8.9
3842376;10.;4.5;3.6;7.1
3156001;3.3;4.5;5.4;4.6
2587106;9.6;4.6;3.6;8.9
3708191;7.7;6.9;9.3;10.
3809931;6.5;2.4;5.1;0.88
